,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
108,integ,I_12s2l,II_ps,16,III_la,408485.000,0.235,422319.500,0.120,{'alpha': [192.0]}
109,integ,I_12s2p,II_ps,16,III_la,408485.000,0.235,422319.500,0.120,{'alpha': [192.0]}
110,integ,I_12s2h,II_ps,16,III_la,408485.000,0.235,422319.500,0.120,{'alpha': [192.0]}
111,integ,I_12s2g,II_ps,16,III_la,408485.000,0.235,422319.500,0.120,{'alpha': [192.0]}
112,integ,I_12s2d,II_ps,16,III_la,408485.000,0.235,422319.500,0.120,{'alpha': [192.0]}
113,integ,I_02s2l,II_sp,12,III_mlr,408478.800,0.235,424284.900,0.112,{}
114,integ,I_02s2p,II_sp,12,III_mlr,408478.800,0.235,424284.900,0.112,{}
115,integ,I_02s2h,II_sp,12,III_mlr,408478.800,0.235,424284.900,0.112,{}
116,integ,I_02s2g,II_sp,12,III_mlr,408478.800,0.235,424284.900,0.112,{}
117,integ,I_02s2d,II_sp,12,III_mlr,408478.800,0.235,424284.900,0.112,{}
118,integ,I_11s3d,II_sp,74,III_dtr,425083.600,0.172,425253.200,0.108,"{'max_depth': [2], 'max_features': [65], 'max_leaf_nodes': [4]}"
119,integ,I_10s3d,II_sp,4,III_dtr,460354.000,0.029,430245.400,0.087,"{'max_depth': [2], 'max_features': [4], 'max_leaf_nodes': [2]}"
120,integ,I_10s2l,II_sp,7,III_mlr,442058.100,0.104,433393.900,0.074,{}
121,integ,I_10s2p,II_sp,7,III_mlr,442058.100,0.104,433393.900,0.074,{}
122,integ,I_10s2h,II_sp,7,III_mlr,442058.100,0.104,433393.900,0.074,{}
123,integ,I_10s2g,II_sp,7,III_mlr,442058.100,0.104,433393.900,0.074,{}
124,integ,I_10s2d,II_sp,7,III_mlr,442058.100,0.104,433393.900,0.074,{}
125,integ,I_11s1d,II_r2r,14,III_mlr,434622.800,0.134,435407.300,0.065,{}
126,integ,I_11s1l,II_ps,5,III_la,434313.800,0.136,435427.000,0.065,{'alpha': [199.0]}
127,integ,I_01s1l,II_r2r,4,III_dtr,448008.500,0.080,437757.900,0.055,"{'max_depth': [2], 'max_features': [4], 'max_leaf_nodes': [2]}"
128,integ,I_10s1l,II_r2r,4,III_la,440909.500,0.109,438754.700,0.051,{'alpha': [1e-06]}
129,integ,I_02s1d,II_ps,4,III_la,463127.100,0.017,443217.900,0.031,{'alpha': [199.0]}
130,integ,I_10s3p,II_ps,4,III_dtr,445201.800,0.092,443399.500,0.030,"{'max_depth': [2], 'max_features': [4], 'max_leaf_nodes': [2]}"
131,integ,I_10s1d,II_r2r,4,III_dtr,464006.600,0.013,445832.000,0.020,"{'max_depth': [2], 'max_features': [4], 'max_leaf_nodes': [2]}"
132,integ,I_10s1p,II_r2r,4,III_la,448373.900,0.079,447097.000,0.014,{'alpha': [199.0]}
