,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
497,ltl10,i_13cd,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.156,0.767,0.200,0.386,0.300,0.461,"{'learning_rate': [0.088], 'max_depth': [4], 'n_estimators': [340], 'num_leaves': [20]}"
498,ltl10,i_13ch,ii_la,la_ff_final,iii_gbrt,0.140,0.813,0.200,0.480,0.300,0.460,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [8], 'n_estimators': [210]}"
499,ltl10,i_02cl,ii_random,des_random_3,iii_rf,0.167,0.732,0.200,0.471,0.300,0.460,"{'max_depth': [14], 'max_features': [65], 'max_leaf_nodes': [44], 'n_estimators': [120]}"
500,ltl10,i_11cl,ii_random,des_random_0,iii_rf,0.168,0.730,0.200,0.426,0.300,0.459,"{'max_depth': [12], 'max_features': [49], 'max_leaf_nodes': [50], 'n_estimators': [1090]}"
501,ltl10,i_13cg,ii_random,des_random_2,iii_lgbm,0.144,0.801,0.200,0.454,0.300,0.459,"{'learning_rate': [0.12], 'max_depth': [8], 'n_estimators': [180], 'num_leaves': [20]}"
502,ltl10,i_01cp,ii_corr,35,iii_gbrt,0.151,0.780,0.200,0.446,0.300,0.459,"{'learning_rate': [0.07], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [18], 'n_estimators': [50]}"
503,ltl10,i_01a,ii_corr,20,iii_svm_rbf,0.162,0.748,0.300,0.360,0.300,0.458,{'gamma': [0.059]}
504,ltl10,i_11cn,ii_la,la_ff_final,iii_gbrt,0.185,0.673,0.300,0.326,0.300,0.458,"{'learning_rate': [0.095], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [210]}"
505,ltl10,i_13cd,ii_random,des_random_1,iii_lgbm,0.144,0.801,0.300,0.315,0.300,0.457,"{'learning_rate': [0.06], 'max_depth': [8], 'n_estimators': [450], 'num_leaves': [20]}"
506,ltl10,i_13cn,ii_random,des_random_2,iii_rf,0.169,0.725,0.200,0.410,0.300,0.456,"{'max_depth': [10], 'max_features': [35], 'max_leaf_nodes': [50], 'n_estimators': [40]}"
