,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
150,emlb,i_12s1d,ii_corr,15,iii_gbrt,27.917,0.404,29.900,0.338,29.500,0.329,"{'learning_rate': [0.19], 'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [4], 'n_estimators': [120]}"
151,emlb,i_04s1p,ii_mlr,mlr_ff_multifinal,iii_lgbm,25.469,0.504,31.500,0.266,29.500,0.328,"{'learning_rate': [0.063], 'max_depth': [6], 'n_estimators': [440], 'num_leaves': [20]}"
152,emlb,i_09s1p,ii_rf,rf_ff_final,iii_gbrt,24.605,0.537,32.400,0.225,29.700,0.321,"{'learning_rate': [0.089], 'max_depth': [4], 'max_features': [9], 'max_leaf_nodes': [6], 'n_estimators': [280]}"
153,emlb,i_06s3g,ii_corr,10,iii_gbrt,28.690,0.371,31.600,0.264,29.700,0.319,"{'learning_rate': [0.085], 'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [8], 'n_estimators': [60]}"
154,emlb,i_11s1g,ii_la,la_ff_final,iii_lgbm,29.619,0.329,31.700,0.258,29.700,0.319,"{'learning_rate': [0.11], 'max_depth': [4], 'n_estimators': [140], 'num_leaves': [20]}"
155,emlb,i_09s3h,ii_random,des_random_8,iii_lgbm,29.285,0.344,33.000,0.195,29.800,0.316,"{'learning_rate': [0.083], 'max_depth': [8], 'n_estimators': [280], 'num_leaves': [20]}"
156,emlb,i_05cd,ii_random,des_random_1,iii_gbrt,27.754,0.411,29.600,0.352,29.900,0.311,"{'learning_rate': [0.09], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [4], 'n_estimators': [280]}"
157,emlb,i_01s2l,ii_random,des_random_1,iii_lgbm,28.578,0.376,32.500,0.219,29.900,0.310,"{'learning_rate': [0.085], 'max_depth': [12], 'n_estimators': [170], 'num_leaves': [20]}"
158,emlb,i_07a,ii_la,la_ff_final,iii_lgbm,28.787,0.367,29.800,0.344,29.900,0.308,"{'learning_rate': [0.098], 'max_depth': [4], 'n_estimators': [130], 'num_leaves': [20]}"
159,emlb,i_10s3p,ii_random,des_random_less10,iii_lgbm,30.304,0.298,31.900,0.247,30.100,0.301,"{'learning_rate': [0.11], 'max_depth': [4], 'n_estimators': [70], 'num_leaves': [20]}"
160,emlb,i_13s1d,ii_random,des_random_1,iii_gbrt,28.896,0.362,30.800,0.300,30.300,0.293,"{'learning_rate': [0.093], 'max_depth': [6], 'max_features': [12], 'max_leaf_nodes': [6], 'n_estimators': [70]}"
161,emlb,i_03cl,ii_mlr,mlr_ff_multifinal,iii_rf,29.107,0.352,31.700,0.260,30.300,0.290,"{'max_depth': [10], 'max_features': [13], 'max_leaf_nodes': [18], 'n_estimators': [190]}"
162,emlb,i_04s3p,ii_random,des_random_4,iii_lgbm,29.314,0.343,27.700,0.434,30.400,0.287,"{'learning_rate': [0.11], 'max_depth': [2], 'n_estimators': [320], 'num_leaves': [20]}"
163,emlb,i_11s3d,ii_random,des_random_9,iii_gbrt,27.235,0.433,30.700,0.302,30.400,0.287,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [14], 'max_leaf_nodes': [8], 'n_estimators': [60]}"
164,emlb,i_03cp,ii_mlr,mlr_ff_multifinal,iii_lgbm,29.333,0.342,30.500,0.312,30.500,0.283,"{'learning_rate': [0.094], 'max_depth': [4], 'n_estimators': [430], 'num_leaves': [20]}"
165,emlb,i_05s1l,ii_random,des_random_less10,iii_lgbm,29.760,0.323,33.600,0.164,30.500,0.281,"{'learning_rate': [0.09], 'max_depth': [4], 'n_estimators': [200], 'num_leaves': [20]}"
166,emlb,i_08s3h,ii_random,des_random_5,iii_lgbm,30.249,0.301,31.900,0.247,30.500,0.280,"{'learning_rate': [0.092], 'max_depth': [8], 'n_estimators': [150], 'num_leaves': [20]}"
167,emlb,i_06s3h,ii_rf,rf_ff_final,iii_gbrt,26.929,0.446,30.400,0.317,30.500,0.279,"{'learning_rate': [0.11], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [4], 'n_estimators': [210]}"
168,emlb,i_08s3p,ii_la,la_ff_final,iii_lgbm,30.125,0.306,32.800,0.207,30.600,0.277,"{'learning_rate': [0.8], 'max_depth': [8], 'n_estimators': [20], 'num_leaves': [20]}"
169,emlb,i_10s2l,ii_rf,rf_ff_final,iii_gbrt,31.378,0.247,33.100,0.192,30.800,0.270,"{'learning_rate': [0.071], 'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [4], 'n_estimators': [180]}"
170,emlb,i_10s2p,ii_rf,rf_ff_final,iii_gbrt,31.378,0.247,33.100,0.192,30.800,0.270,"{'learning_rate': [0.071], 'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [4], 'n_estimators': [180]}"
171,emlb,i_10s2h,ii_rf,rf_ff_final,iii_gbrt,31.378,0.247,33.100,0.192,30.800,0.270,"{'learning_rate': [0.071], 'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [4], 'n_estimators': [180]}"
172,emlb,i_10s2g,ii_rf,rf_ff_final,iii_gbrt,31.378,0.247,33.100,0.192,30.800,0.270,"{'learning_rate': [0.071], 'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [4], 'n_estimators': [180]}"
173,emlb,i_10s2d,ii_rf,rf_ff_final,iii_gbrt,31.378,0.247,33.100,0.192,30.800,0.270,"{'learning_rate': [0.071], 'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [4], 'n_estimators': [180]}"
174,emlb,i_01s2g,ii_la,la_ff_final,iii_lgbm,29.326,0.343,32.900,0.202,30.800,0.269,"{'learning_rate': [0.11], 'max_depth': [6], 'n_estimators': [30], 'num_leaves': [20]}"
175,emlb,i_11s2l,ii_la,la_ff_final,iii_svm_lin,31.526,0.240,33.200,0.186,30.800,0.266,{}
176,emlb,i_11s2p,ii_la,la_ff_final,iii_svm_lin,31.526,0.240,33.200,0.186,30.800,0.266,{}
177,emlb,i_11s2h,ii_la,la_ff_final,iii_svm_lin,31.526,0.240,33.200,0.186,30.800,0.266,{}
178,emlb,i_11s2g,ii_la,la_ff_final,iii_svm_lin,31.526,0.240,33.200,0.186,30.800,0.266,{}
179,emlb,i_11s2d,ii_la,la_ff_final,iii_svm_lin,31.526,0.240,33.200,0.186,30.800,0.266,{}
180,emlb,i_01s2h,ii_la,la_ff_final,iii_lgbm,28.776,0.367,32.700,0.209,30.900,0.265,"{'learning_rate': [0.077], 'max_depth': [12], 'n_estimators': [120], 'num_leaves': [20]}"
181,emlb,i_03cn,ii_random,des_random_less10,iii_rf,29.624,0.329,31.200,0.279,30.900,0.264,"{'max_depth': [8], 'max_features': [8], 'max_leaf_nodes': [16], 'n_estimators': [20]}"
182,emlb,i_12s2l,ii_rf,rf_ff_final,iii_rf,30.976,0.266,33.600,0.167,30.900,0.263,"{'max_depth': [8], 'max_features': [6], 'max_leaf_nodes': [8], 'n_estimators': [20]}"
183,emlb,i_12s2p,ii_rf,rf_ff_final,iii_rf,30.976,0.266,33.600,0.167,30.900,0.263,"{'max_depth': [8], 'max_features': [6], 'max_leaf_nodes': [8], 'n_estimators': [20]}"
