,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
7182,integ,i_02s1p,ii_random,des_random_0,iii_lgbm,407364.585,0.304,430335.200,0.151,442257.800,0.035,"{'learning_rate': [0.09], 'max_depth': [10], 'n_estimators': [1120], 'num_leaves': [20]}"
7183,integ,i_01s1p,ii_rf,rf_ff_final,iii_gbrt,405822.288,0.309,445030.400,0.092,442258.700,0.035,"{'learning_rate': [0.093], 'max_depth': [6], 'max_features': [1], 'max_leaf_nodes': [10], 'n_estimators': [30]}"
7184,integ,i_10s2l,ii_mlr,mlr_ff_multifinal,iii_rf,457623.744,0.121,446886.100,0.085,442285.200,0.035,"{'max_depth': [8], 'max_features': [7], 'max_leaf_nodes': [10], 'n_estimators': [710]}"
7185,integ,i_10s2p,ii_mlr,mlr_ff_multifinal,iii_rf,457623.744,0.121,446886.100,0.085,442285.200,0.035,"{'max_depth': [8], 'max_features': [7], 'max_leaf_nodes': [10], 'n_estimators': [710]}"
7186,integ,i_10s2h,ii_mlr,mlr_ff_multifinal,iii_rf,457623.744,0.121,446886.100,0.085,442285.200,0.035,"{'max_depth': [8], 'max_features': [7], 'max_leaf_nodes': [10], 'n_estimators': [710]}"
7187,integ,i_10s2g,ii_mlr,mlr_ff_multifinal,iii_rf,457623.744,0.121,446886.100,0.085,442285.200,0.035,"{'max_depth': [8], 'max_features': [7], 'max_leaf_nodes': [10], 'n_estimators': [710]}"
7188,integ,i_10s2d,ii_mlr,mlr_ff_multifinal,iii_rf,457623.744,0.121,446886.100,0.085,442285.200,0.035,"{'max_depth': [8], 'max_features': [7], 'max_leaf_nodes': [10], 'n_estimators': [710]}"
7189,integ,i_10s2l,ii_random,des_random_less10,iii_rf,457623.744,0.121,446886.100,0.085,442285.200,0.035,"{'max_depth': [8], 'max_features': [7], 'max_leaf_nodes': [10], 'n_estimators': [710]}"
7190,integ,i_10s2p,ii_random,des_random_less10,iii_rf,457623.744,0.121,446886.100,0.085,442285.200,0.035,"{'max_depth': [8], 'max_features': [7], 'max_leaf_nodes': [10], 'n_estimators': [710]}"
7191,integ,i_10s2h,ii_random,des_random_less10,iii_rf,457623.744,0.121,446886.100,0.085,442285.200,0.035,"{'max_depth': [8], 'max_features': [7], 'max_leaf_nodes': [10], 'n_estimators': [710]}"
7192,integ,i_10s2g,ii_random,des_random_less10,iii_rf,457623.744,0.121,446886.100,0.085,442285.200,0.035,"{'max_depth': [8], 'max_features': [7], 'max_leaf_nodes': [10], 'n_estimators': [710]}"
7193,integ,i_10s2d,ii_random,des_random_less10,iii_rf,457623.744,0.121,446886.100,0.085,442285.200,0.035,"{'max_depth': [8], 'max_features': [7], 'max_leaf_nodes': [10], 'n_estimators': [710]}"
7194,integ,i_12s3d,ii_corr,10,iii_lgbm,425050.969,0.242,451636.300,0.065,442290.700,0.035,"{'learning_rate': [0.44], 'max_depth': [4], 'n_estimators': [200], 'num_leaves': [20]}"
7195,integ,i_11s3p,ii_random,des_random_8,iii_rf,428222.348,0.231,435694.300,0.130,442308.300,0.035,"{'max_depth': [4], 'max_features': [7], 'max_leaf_nodes': [14], 'n_estimators': [470]}"
7196,integ,i_01s3p,ii_random,des_random_7,iii_gbrt,360179.140,0.456,422135.000,0.183,442342.600,0.035,"{'learning_rate': [0.065], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [8], 'n_estimators': [50]}"
7197,integ,i_02a,ii_la,la_ff_final,iii_lgbm,481430.744,0.028,463581.300,0.015,442346.000,0.035,"{'learning_rate': [0.083], 'max_depth': [2], 'n_estimators': [40], 'num_leaves': [20]}"
7198,integ,i_11s1p,ii_random,des_random_2,iii_la,455802.547,0.128,463725.800,0.015,442377.600,0.035,{'alpha': [199.0]}
7199,integ,i_13cd,ii_rf,rf_ff_final,iii_la,464726.594,0.094,481330.800,-0.062,442530.400,0.034,{'alpha': [1e-06]}
