,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
14219,integ,I_12s1l,II_rr2,54,III_la,389790.600,0.304,429852.200,0.089,{'alpha': [199.0]}
14220,integ,I_12s1l,II_r2r,44,III_la,390961.400,0.300,429855.100,0.089,{'alpha': [199.0]}
14221,integ,I_12s1l,II_rr2,44,III_la,390961.400,0.300,429855.100,0.089,{'alpha': [199.0]}
14222,integ,I_12s1d,II_r2r,6,III_la,403522.300,0.254,429861.400,0.089,{'alpha': [199.0]}
14223,integ,I_12s1d,II_rr2,6,III_la,403522.300,0.254,429861.400,0.089,{'alpha': [199.0]}
14224,integ,I_12s1d,II_r2r,4,III_la,406483.700,0.243,429873.600,0.089,{'alpha': [199.0]}
14225,integ,I_12s1d,II_rr2,4,III_la,406483.700,0.243,429873.600,0.089,{'alpha': [199.0]}
14226,integ,I_12s2l,II_r2r,82,III_la,401280.900,0.262,429877.100,0.089,{'alpha': [199.0]}
14227,integ,I_12s2p,II_r2r,82,III_la,401280.900,0.262,429877.100,0.089,{'alpha': [199.0]}
14228,integ,I_12s2h,II_r2r,82,III_la,401280.900,0.262,429877.100,0.089,{'alpha': [199.0]}
14229,integ,I_12s2g,II_r2r,82,III_la,401280.900,0.262,429877.100,0.089,{'alpha': [199.0]}
14230,integ,I_12s2d,II_r2r,82,III_la,401280.900,0.262,429877.100,0.089,{'alpha': [199.0]}
14231,integ,I_12s2l,II_rr2,82,III_la,401280.900,0.262,429877.100,0.089,{'alpha': [199.0]}
14232,integ,I_12s2p,II_rr2,82,III_la,401280.900,0.262,429877.100,0.089,{'alpha': [199.0]}
14233,integ,I_12s2h,II_rr2,82,III_la,401280.900,0.262,429877.100,0.089,{'alpha': [199.0]}
14234,integ,I_12s2g,II_rr2,82,III_la,401280.900,0.262,429877.100,0.089,{'alpha': [199.0]}
14235,integ,I_12s2d,II_rr2,82,III_la,401280.900,0.262,429877.100,0.089,{'alpha': [199.0]}
14236,integ,I_12s1l,II_r2r,58,III_la,389799.300,0.304,429882.800,0.089,{'alpha': [199.0]}
14237,integ,I_12s1l,II_rr2,58,III_la,389799.300,0.304,429882.800,0.089,{'alpha': [199.0]}
14238,integ,I_13s1l,II_r2r,54,III_dtr,400450.400,0.265,429883.900,0.089,"{'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [4]}"
14239,integ,I_13s1l,II_rr2,54,III_dtr,400450.400,0.265,429883.900,0.089,"{'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [4]}"
14240,integ,I_12s1l,II_r2r,56,III_la,389800.700,0.304,429888.500,0.089,{'alpha': [199.0]}
14241,integ,I_12s1l,II_rr2,56,III_la,389800.700,0.304,429888.500,0.089,{'alpha': [199.0]}
14242,integ,I_10cp,II_ps,66,III_dtr,395378.500,0.284,429934.400,0.088,"{'max_depth': [2], 'max_features': [50], 'max_leaf_nodes': [4]}"
14243,integ,I_12s3p,II_ps,16,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [16], 'max_leaf_nodes': [4]}"
14244,integ,I_12s3p,II_ps,14,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [14], 'max_leaf_nodes': [4]}"
14245,integ,I_12s3p,II_ps,12,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [12], 'max_leaf_nodes': [4]}"
14246,integ,I_12s3p,II_ps,10,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [10], 'max_leaf_nodes': [4]}"
14247,integ,I_12s3p,II_ps,8,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [8], 'max_leaf_nodes': [4]}"
14248,integ,I_12s3p,II_ps,6,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [6], 'max_leaf_nodes': [4]}"
14249,integ,I_12s3p,II_ps,4,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [4], 'max_leaf_nodes': [4]}"
14250,integ,I_12s3p,II_sp,14,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [14], 'max_leaf_nodes': [4]}"
14251,integ,I_12s3p,II_sp,12,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [12], 'max_leaf_nodes': [4]}"
14252,integ,I_12s3p,II_sp,10,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [10], 'max_leaf_nodes': [4]}"
14253,integ,I_12s3p,II_sp,8,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [8], 'max_leaf_nodes': [4]}"
14254,integ,I_12s3p,II_sp,6,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [6], 'max_leaf_nodes': [4]}"
14255,integ,I_12s3p,II_sp,4,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [4], 'max_leaf_nodes': [4]}"
14256,integ,I_12s3p,II_sp,16,III_dtr,393756.100,0.289,429939.300,0.088,"{'max_depth': [2], 'max_features': [16], 'max_leaf_nodes': [4]}"
14257,integ,I_02s1g,II_sp,38,III_la,367891.500,0.380,429952.300,0.088,{'alpha': [199.0]}
14258,integ,I_13s1d,II_sp,58,III_dtr,391201.900,0.299,429975.900,0.088,"{'max_depth': [4], 'max_features': [35], 'max_leaf_nodes': [4]}"
14259,integ,I_02s3p,II_r2r,24,III_dtr,321571.900,0.526,429983.000,0.088,"{'max_depth': [8], 'max_features': [19], 'max_leaf_nodes': [16]}"
14260,integ,I_02s3p,II_rr2,24,III_dtr,321571.900,0.526,429983.000,0.088,"{'max_depth': [8], 'max_features': [19], 'max_leaf_nodes': [16]}"
14261,integ,I_12s1l,II_r2r,42,III_la,390901.600,0.300,429994.800,0.088,{'alpha': [199.0]}
14262,integ,I_12s1l,II_rr2,42,III_la,390901.600,0.300,429994.800,0.088,{'alpha': [199.0]}
14263,integ,I_01s3p,II_sp,48,III_dtr,392466.800,0.294,430030.800,0.088,"{'max_depth': [2], 'max_features': [10], 'max_leaf_nodes': [4]}"
14264,integ,I_01s1p,II_r2r,28,III_la,401585.500,0.261,430042.200,0.088,{'alpha': [199.0]}
14265,integ,I_01s1p,II_rr2,28,III_la,401585.500,0.261,430042.200,0.088,{'alpha': [199.0]}
14266,integ,I_12s1d,II_sp,6,III_la,405986.500,0.245,430061.700,0.088,{'alpha': [199.0]}
14267,integ,I_10s3l,II_sp,10,III_la,449593.400,0.074,430099.300,0.088,{'alpha': [20.0]}
14268,integ,I_10s3l,II_sp,12,III_la,449593.400,0.074,430099.300,0.088,{'alpha': [20.0]}
14269,integ,I_10s3l,II_sp,14,III_la,449593.400,0.074,430099.300,0.088,{'alpha': [20.0]}
14270,integ,I_10cl,II_sp,58,III_dtr,405844.200,0.245,430108.500,0.088,"{'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [4]}"
14271,integ,I_10cl,II_sp,36,III_dtr,405844.200,0.245,430108.500,0.088,"{'max_depth': [4], 'max_features': [25], 'max_leaf_nodes': [4]}"
14272,integ,I_13s1d,II_sp,66,III_dtr,385794.200,0.318,430139.000,0.088,"{'max_depth': [2], 'max_features': [50], 'max_leaf_nodes': [4]}"
14273,integ,I_13s1d,II_r2r,93,III_dtr,385794.200,0.318,430139.000,0.088,"{'max_depth': [2], 'max_features': [60], 'max_leaf_nodes': [4]}"
14274,integ,I_13s1d,II_r2r,89,III_dtr,385794.200,0.318,430139.000,0.088,"{'max_depth': [2], 'max_features': [50], 'max_leaf_nodes': [4]}"
14275,integ,I_13s1d,II_r2r,81,III_dtr,385794.200,0.318,430139.000,0.088,"{'max_depth': [2], 'max_features': [35], 'max_leaf_nodes': [4]}"
14276,integ,I_13s1d,II_rr2,93,III_dtr,385794.200,0.318,430139.000,0.088,"{'max_depth': [2], 'max_features': [60], 'max_leaf_nodes': [4]}"
14277,integ,I_13s1d,II_rr2,89,III_dtr,385794.200,0.318,430139.000,0.088,"{'max_depth': [2], 'max_features': [50], 'max_leaf_nodes': [4]}"
14278,integ,I_13s1d,II_rr2,81,III_dtr,385794.200,0.318,430139.000,0.088,"{'max_depth': [2], 'max_features': [35], 'max_leaf_nodes': [4]}"
14279,integ,I_12s3d,II_r2r,62,III_dtr,410964.700,0.226,430153.500,0.088,"{'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [4]}"
14280,integ,I_12s3d,II_rr2,62,III_dtr,410964.700,0.226,430153.500,0.088,"{'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [4]}"
14281,integ,I_12s3d,II_ps,28,III_dtr,410964.700,0.226,430153.500,0.088,"{'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [4]}"
14282,integ,I_01s1p,II_r2r,24,III_la,404154.900,0.251,430158.500,0.088,{'alpha': [199.0]}
14283,integ,I_01s1p,II_rr2,24,III_la,404154.900,0.251,430158.500,0.088,{'alpha': [199.0]}
14284,integ,I_02s1g,II_sp,86,III_dtr,397749.400,0.275,430159.900,0.088,"{'max_depth': [2], 'max_features': [20], 'max_leaf_nodes': [4]}"
14285,integ,I_02s1g,II_sp,111,III_dtr,397749.400,0.275,430159.900,0.088,"{'max_depth': [2], 'max_features': [60], 'max_leaf_nodes': [4]}"
14286,integ,I_10cg,II_r2r,42,III_la,376435.100,0.351,430185.000,0.087,{'alpha': [199.0]}
14287,integ,I_10cg,II_rr2,42,III_la,376435.100,0.351,430185.000,0.087,{'alpha': [199.0]}
14288,integ,I_01s3d,II_ps,44,III_la,362700.000,0.397,430203.200,0.087,{'alpha': [199.0]}
14289,integ,I_12s1l,II_r2r,46,III_la,390659.400,0.301,430210.600,0.087,{'alpha': [199.0]}
14290,integ,I_12s1l,II_rr2,46,III_la,390659.400,0.301,430210.600,0.087,{'alpha': [199.0]}
14291,integ,I_10s3h,II_r2r,44,III_dtr,409260.200,0.232,430241.300,0.087,"{'max_depth': [2], 'max_features': [10], 'max_leaf_nodes': [4]}"
14292,integ,I_10s3h,II_rr2,44,III_dtr,409260.200,0.232,430241.300,0.087,"{'max_depth': [2], 'max_features': [10], 'max_leaf_nodes': [4]}"
14293,integ,I_10s3d,II_sp,4,III_dtr,460354.000,0.029,430245.400,0.087,"{'max_depth': [2], 'max_features': [4], 'max_leaf_nodes': [2]}"
14294,integ,I_10s3d,II_sp,6,III_dtr,460354.000,0.029,430245.400,0.087,"{'max_depth': [2], 'max_features': [6], 'max_leaf_nodes': [2]}"
14295,integ,I_10cp,II_sp,56,III_dtr,375525.900,0.354,430280.700,0.087,"{'max_depth': [4], 'max_features': [35], 'max_leaf_nodes': [6]}"
14296,integ,I_13s1d,II_ps,40,III_dtr,384010.500,0.324,430281.000,0.087,"{'max_depth': [2], 'max_features': [20], 'max_leaf_nodes': [4]}"
14297,integ,I_12s1l,II_r2r,60,III_la,389835.100,0.304,430302.400,0.087,{'alpha': [199.0]}
14298,integ,I_12s1l,II_rr2,60,III_la,389835.100,0.304,430302.400,0.087,{'alpha': [199.0]}
14299,integ,I_01s2h,II_r2r,28,III_dtr,396919.700,0.278,430302.800,0.087,"{'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [16]}"
14300,integ,I_01s2h,II_rr2,28,III_dtr,396919.700,0.278,430302.800,0.087,"{'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [16]}"
14301,integ,I_02s1g,II_sp,94,III_la,338652.500,0.474,430319.200,0.087,{'alpha': [199.0]}
14302,integ,I_12s1d,II_sp,14,III_la,397182.300,0.277,430330.900,0.087,{'alpha': [199.0]}
14303,integ,I_12s1d,II_sp,16,III_la,397071.000,0.277,430359.800,0.087,{'alpha': [199.0]}
14304,integ,I_12s1l,II_ps,28,III_la,394599.500,0.286,430360.800,0.087,{'alpha': [199.0]}
14305,integ,I_01s1p,II_r2r,84,III_dtr,417586.900,0.201,430388.100,0.087,"{'max_depth': [2], 'max_features': [15], 'max_leaf_nodes': [2]}"
14306,integ,I_01s1p,II_r2r,30,III_dtr,417586.900,0.201,430388.100,0.087,"{'max_depth': [2], 'max_features': [15], 'max_leaf_nodes': [2]}"
14307,integ,I_01s1p,II_rr2,84,III_dtr,417586.900,0.201,430388.100,0.087,"{'max_depth': [2], 'max_features': [15], 'max_leaf_nodes': [2]}"
14308,integ,I_01s1p,II_rr2,30,III_dtr,417586.900,0.201,430388.100,0.087,"{'max_depth': [2], 'max_features': [15], 'max_leaf_nodes': [2]}"
14309,integ,I_01s1p,II_ps,40,III_dtr,417586.900,0.201,430388.100,0.087,"{'max_depth': [2], 'max_features': [15], 'max_leaf_nodes': [2]}"
14310,integ,I_01s1p,II_r2r,88,III_dtr,417586.900,0.201,430388.100,0.087,"{'max_depth': [2], 'max_features': [25], 'max_leaf_nodes': [2]}"
14311,integ,I_01s1p,II_rr2,88,III_dtr,417586.900,0.201,430388.100,0.087,"{'max_depth': [2], 'max_features': [25], 'max_leaf_nodes': [2]}"
14312,integ,I_01s1p,II_sp,18,III_dtr,417586.900,0.201,430388.100,0.087,"{'max_depth': [2], 'max_features': [13], 'max_leaf_nodes': [2]}"
14313,integ,I_02s1g,II_sp,92,III_la,338648.300,0.474,430392.700,0.087,{'alpha': [199.0]}
14314,integ,I_10s3h,II_ps,60,III_la,362988.600,0.396,430458.600,0.086,{'alpha': [199.0]}
14315,integ,I_12s3d,II_sp,20,III_la,410783.300,0.227,430463.400,0.086,{'alpha': [199.0]}
14316,integ,I_01s3d,II_ps,42,III_la,364248.300,0.392,430475.900,0.086,{'alpha': [199.0]}
