,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
46,emev,i_11s3l,ii_la,la_ff_final,iii_rf,0.090,0.660,0.100,0.444,0.100,0.568,"{'max_depth': [18], 'max_features': [35], 'max_leaf_nodes': [50], 'n_estimators': [920]}"
47,emev,i_02s3g,ii_rf,rf_ff_final,iii_gbrt,0.091,0.649,0.100,0.446,0.100,0.565,"{'learning_rate': [0.16], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [20], 'n_estimators': [80]}"
48,emev,i_12s3g,ii_corr,30,iii_gbrt,0.088,0.671,0.100,0.464,0.100,0.549,"{'learning_rate': [0.1], 'max_depth': [10], 'max_features': [20], 'max_leaf_nodes': [40], 'n_estimators': [890]}"
49,emev,i_13s3g,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.086,0.686,0.100,0.410,0.100,0.548,"{'learning_rate': [0.081], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [14], 'n_estimators': [680]}"
50,emev,i_10cp,ii_la,la_ff_final,iii_gbrt,0.087,0.683,0.100,0.551,0.100,0.539,"{'learning_rate': [0.087], 'max_depth': [4], 'max_features': [27], 'max_leaf_nodes': [6], 'n_estimators': [180]}"
51,emev,i_01s3g,ii_random,des_random_0,iii_gbrt,0.083,0.707,0.100,0.425,0.100,0.528,"{'learning_rate': [0.077], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [44], 'n_estimators': [110]}"
52,emev,i_02s3p,ii_la,la_ff_final,iii_gbrt,0.095,0.618,0.100,0.559,0.100,0.526,"{'learning_rate': [0.1], 'max_depth': [4], 'max_features': [30], 'max_leaf_nodes': [8], 'n_estimators': [300]}"
53,emev,i_02s1l,ii_corr,25,iii_lgbm,0.091,0.652,0.100,0.518,0.100,0.523,"{'learning_rate': [0.23], 'max_depth': [4], 'n_estimators': [580], 'num_leaves': [20]}"
54,emev,i_01s1h,ii_corr,30,iii_gbrt,0.078,0.746,0.100,0.500,0.100,0.517,"{'learning_rate': [0.039], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [14], 'n_estimators': [220]}"
55,emev,i_01s1l,ii_corr,40,iii_lgbm,0.071,0.788,0.100,0.445,0.100,0.517,"{'learning_rate': [0.083], 'max_depth': [12], 'n_estimators': [70], 'num_leaves': [20]}"
56,emev,i_13s1h,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.086,0.686,0.100,0.514,0.100,0.508,"{'learning_rate': [0.096], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [6], 'n_estimators': [240]}"
57,emev,i_02s1h,ii_corr,40,iii_gbrt,0.092,0.641,0.100,0.454,0.100,0.508,"{'learning_rate': [0.14], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [130]}"
58,emev,i_01s3p,ii_random,des_random_7,iii_gbrt,0.089,0.667,0.100,0.474,0.100,0.502,"{'learning_rate': [0.12], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [10], 'n_estimators': [2110]}"
59,emev,i_13s1l,ii_random,des_random_3,iii_gbrt,0.093,0.637,0.100,0.485,0.100,0.500,"{'learning_rate': [0.096], 'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [10], 'n_estimators': [150]}"
60,emev,i_12s1h,ii_random,des_random_6,iii_lgbm,0.098,0.600,0.100,0.487,0.100,0.499,"{'learning_rate': [0.08], 'max_depth': [8], 'n_estimators': [110], 'num_leaves': [20]}"
61,emev,i_13s3p,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.100,0.584,0.100,0.475,0.100,0.490,"{'learning_rate': [0.11], 'max_depth': [16], 'n_estimators': [120], 'num_leaves': [20]}"
62,emev,i_12s3p,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.100,0.580,0.100,0.487,0.100,0.484,"{'learning_rate': [0.076], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [8], 'n_estimators': [130]}"
63,emev,i_12s1l,ii_random,des_random_9,iii_gbrt,0.096,0.611,0.100,0.482,0.100,0.476,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [10], 'n_estimators': [120]}"
64,emev,i_01s1d,ii_la,la_ff_final,iii_lgbm,0.064,0.826,0.100,0.478,0.100,0.472,"{'learning_rate': [0.15], 'max_depth': [8], 'n_estimators': [60], 'num_leaves': [20]}"
65,emev,i_01s1g,ii_random,des_random_9,iii_lgbm,0.075,0.762,0.100,0.333,0.100,0.461,"{'learning_rate': [0.07], 'max_depth': [14], 'n_estimators': [100], 'num_leaves': [20]}"
66,emev,i_11s3g,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.103,0.554,0.100,0.341,0.100,0.454,"{'learning_rate': [0.11], 'max_depth': [8], 'n_estimators': [140], 'num_leaves': [20]}"
