,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
112,emlb,I_11s3p,II_ps,20,III_svm_lin,27.700,0.434,26.500,0.456,{}
113,emlb,I_02s3d,II_r2r,93,III_svm_lin,26.500,0.483,26.500,0.456,{}
114,emlb,I_11s3h,II_r2r,95,III_la,26.100,0.498,26.600,0.453,{'alpha': [0.29]}
115,emlb,I_11s3g,II_ps,32,III_svm_lin,29.100,0.375,26.700,0.451,{}
116,emlb,I_13s3h,II_ps,106,III_la,26.400,0.484,26.700,0.449,{'alpha': [0.41]}
117,emlb,I_02s3h,II_sp,72,III_la,25.000,0.538,26.700,0.449,{'alpha': [0.18]}
118,emlb,I_01s3h,II_sp,40,III_mlr,26.700,0.475,26.800,0.444,{}
119,emlb,I_13s3d,II_r2r,68,III_svm_lin,27.700,0.431,26.900,0.439,{}
120,emlb,I_02s1g,II_sp,18,III_la,28.300,0.410,27.000,0.436,{'alpha': [0.32]}
121,emlb,I_05a,II_ps,88,III_la,25.500,0.520,27.100,0.434,{'alpha': [0.32]}
122,emlb,I_12s3h,II_ps,82,III_la,25.300,0.526,27.100,0.433,{'alpha': [0.1]}
123,emlb,I_05s3h,II_sp,4,III_la,28.200,0.411,27.200,0.430,{'alpha': [1e-06]}
124,emlb,I_13s1p,II_sp,42,III_la,28.400,0.402,27.200,0.430,{'alpha': [0.18]}
125,emlb,I_04s3h,II_r2r,106,III_la,25.100,0.534,27.200,0.429,{'alpha': [0.2]}
126,emlb,I_11s1h,II_sp,50,III_svm_lin,26.200,0.494,27.300,0.423,{}
127,emlb,I_02s1p,II_sp,8,III_la,29.800,0.343,27.400,0.422,{'alpha': [0.1]}
128,emlb,I_05s1h,II_ps,10,III_la,28.300,0.410,27.500,0.414,{'alpha': [0.027]}
129,emlb,I_12s1p,II_ps,40,III_la,28.800,0.388,27.600,0.412,{'alpha': [0.21]}
130,emlb,I_06s1p,II_sp,18,III_svm_lin,31.100,0.284,27.700,0.406,{}
131,emlb,I_09s1h,II_ps,18,III_la,28.700,0.390,27.800,0.402,{'alpha': [0.059]}
132,emlb,I_01s1p,II_r2r,60,III_svm_lin,29.500,0.359,27.800,0.402,{}
133,emlb,I_09s1g,II_r2r,8,III_svm_lin,29.700,0.350,27.900,0.400,{}
134,emlb,I_10s3g,II_r2r,9,III_svm_lin,30.100,0.330,27.900,0.399,{}
135,emlb,I_13s1g,II_sp,24,III_svm_lin,28.900,0.384,28.000,0.396,{}
136,emlb,I_05cn,II_sp,6,III_svm_lin,28.000,0.419,28.000,0.396,{}
137,emlb,I_12s1g,II_r2r,26,III_svm_lin,29.300,0.368,28.100,0.392,{}
138,emlb,I_05cg,II_r2r,38,III_la,27.000,0.460,28.300,0.382,{'alpha': [0.83]}
139,emlb,I_07cp,II_sp,10,III_la,29.100,0.374,28.300,0.381,{'alpha': [0.47]}
140,emlb,I_02s1d,II_ps,96,III_la,26.000,0.501,28.400,0.376,{'alpha': [0.34]}
141,emlb,I_07cd,II_sp,4,III_la,30.100,0.332,28.400,0.375,{'alpha': [3.8e-05]}
142,emlb,I_04s3g,II_r2r,4,III_svm_sig,28.100,0.417,28.500,0.373,"{'coef0': [0], 'gamma': [0.1]}"
143,emlb,I_08s3l,II_r2r,94,III_la,30.100,0.329,28.500,0.372,{'alpha': [0.66]}
144,emlb,I_07ch,II_r2r,8,III_svm_sig,29.100,0.373,28.600,0.370,"{'coef0': [0], 'gamma': [0.062]}"
145,emlb,I_06s1h,II_ps,7,III_la,29.600,0.351,28.700,0.363,{'alpha': [0.25]}
146,emlb,I_08s1l,II_r2r,30,III_svm_lin,30.000,0.335,28.700,0.363,{}
147,emlb,I_10s3l,II_ps,26,III_dtr,31.000,0.289,28.800,0.359,"{'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [6]}"
148,emlb,I_11s1p,II_r2r,20,III_dtr,30.400,0.317,29.000,0.352,"{'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [8]}"
149,emlb,I_01s3d,II_ps,106,III_svm_lin,28.800,0.388,29.000,0.351,{}
150,emlb,I_12s1d,II_sp,26,III_la,28.700,0.393,29.300,0.339,{'alpha': [0.067]}
151,emlb,I_11s1g,II_ps,11,III_la,31.000,0.290,29.400,0.334,{'alpha': [0.24]}
152,emlb,I_09s3h,II_sp,20,III_mlr,30.900,0.293,29.500,0.330,{}
153,emlb,I_04s1p,II_r2r,18,III_la,30.100,0.330,29.800,0.316,{'alpha': [0.71]}
154,emlb,I_08s3h,II_sp,58,III_la,29.500,0.358,29.800,0.314,{'alpha': [0.33]}
155,emlb,I_05cd,II_ps,34,III_la,28.900,0.383,29.800,0.313,{'alpha': [0.79]}
156,emlb,I_06s3g,II_r2r,42,III_svm_lin,30.400,0.318,29.800,0.312,{}
157,emlb,I_09s1p,II_r2r,14,III_mlr,31.300,0.279,29.900,0.311,{}
158,emlb,I_07a,II_ps,6,III_la,29.700,0.349,30.100,0.300,{'alpha': [0.44]}
159,emlb,I_10s3p,II_sp,5,III_svm_lin,32.100,0.239,30.100,0.299,{}
160,emlb,I_01s2l,II_ps,30,III_la,31.300,0.275,30.200,0.296,{'alpha': [0.32]}
161,emlb,I_04s3p,II_r2r,34,III_la,26.000,0.500,30.200,0.295,{'alpha': [0.24]}
162,emlb,I_13s1d,II_sp,30,III_la,29.100,0.374,30.300,0.289,{'alpha': [0.08]}
163,emlb,I_03cg,II_ps,13,III_mlr,29.500,0.356,30.400,0.288,{}
164,emlb,I_10s2l,II_sp,5,III_la,32.800,0.206,30.500,0.284,{'alpha': [1e-06]}
165,emlb,I_10s2p,II_sp,5,III_la,32.800,0.206,30.500,0.284,{'alpha': [1e-06]}
166,emlb,I_10s2h,II_sp,5,III_la,32.800,0.206,30.500,0.284,{'alpha': [1e-06]}
167,emlb,I_10s2g,II_sp,5,III_la,32.800,0.206,30.500,0.284,{'alpha': [1e-06]}
168,emlb,I_10s2d,II_sp,5,III_la,32.800,0.206,30.500,0.284,{'alpha': [1e-06]}
